Country/Area,Item1,Purpose,Year,Overnight Stays
Australia,Aichi,Overall,2021,280
Australia,Aichi,Overall,2022,"4,070"
Australia,Aichi,Overall,2023,"43,040"
Australia,Akita,Overall,2021,90
Australia,Akita,Overall,2022,290
Australia,Akita,Overall,2023,"2,030"
Australia,Aomori,Overall,2021,170
Australia,Aomori,Overall,2022,880
Australia,Aomori,Overall,2023,"7,770"
Australia,Chiba,Overall,2021,"3,550"
Australia,Chiba,Overall,2022,"12,790"
Australia,Chiba,Overall,2023,"113,000"
Australia,Ehime,Overall,2021,20
Australia,Ehime,Overall,2022,540
Australia,Ehime,Overall,2023,"3,630"
Australia,Fukui,Overall,2021,90
Australia,Fukui,Overall,2022,80
Australia,Fukui,Overall,2023,570
Australia,Fukuoka,Overall,2021,120
Australia,Fukuoka,Overall,2022,"4,810"
Australia,Fukuoka,Overall,2023,"40,860"
Australia,Fukushima,Overall,2021,520
Australia,Fukushima,Overall,2022,330
Australia,Fukushima,Overall,2023,"3,040"
Australia,Gifu,Overall,2021,20
Australia,Gifu,Overall,2022,"2,550"
Australia,Gifu,Overall,2023,"26,490"
Australia,Gunma,Overall,2021,50
Australia,Gunma,Overall,2022,640
Australia,Gunma,Overall,2023,"7,750"
Australia,Hiroshima,Overall,2021,160
Australia,Hiroshima,Overall,2022,"5,140"
Australia,Hiroshima,Overall,2023,"75,250"
Australia,Hokkaido,Overall,2021,"1,130"
Australia,Hokkaido,Overall,2022,"24,130"
Australia,Hokkaido,Overall,2023,"169,810"
Australia,Hyogo,Overall,2021,590
Australia,Hyogo,Overall,2022,"2,690"
Australia,Hyogo,Overall,2023,"21,870"
Australia,Ibaraki,Overall,2021,40
Australia,Ibaraki,Overall,2022,750
Australia,Ibaraki,Overall,2023,"2,680"
Australia,Ishikawa,Overall,2021,30
Australia,Ishikawa,Overall,2022,"4,220"
Australia,Ishikawa,Overall,2023,"52,900"
Australia,Iwate,Overall,2021,30
Australia,Iwate,Overall,2022,600
Australia,Iwate,Overall,2023,"7,490"
Australia,Kagawa,Overall,2021,40
Australia,Kagawa,Overall,2022,640
Australia,Kagawa,Overall,2023,"6,830"
Australia,Kagoshima,Overall,2021,120
Australia,Kagoshima,Overall,2022,620
Australia,Kagoshima,Overall,2023,"5,140"
Australia,Kanagawa,Overall,2021,"1,200"
Australia,Kanagawa,Overall,2022,"14,490"
Australia,Kanagawa,Overall,2023,"93,110"
Australia,Kochi,Overall,2021,40
Australia,Kochi,Overall,2022,180
Australia,Kochi,Overall,2023,"2,130"
Australia,Kumamoto,Overall,2021,40
Australia,Kumamoto,Overall,2022,830
Australia,Kumamoto,Overall,2023,"8,800"
Australia,Kyoto,Overall,2021,530
Australia,Kyoto,Overall,2022,"41,660"
Australia,Kyoto,Overall,2023,"477,500"
Australia,Mie,Overall,2021,10
Australia,Mie,Overall,2022,390
Australia,Mie,Overall,2023,"1,890"
Australia,Miyagi,Overall,2021,220
Australia,Miyagi,Overall,2022,"1,400"
Australia,Miyagi,Overall,2023,"10,800"
Australia,Miyazaki,Overall,2021,60
Australia,Miyazaki,Overall,2022,120
Australia,Miyazaki,Overall,2023,"1,140"
Australia,Nagano,Overall,2021,350
Australia,Nagano,Overall,2022,"5,600"
Australia,Nagano,Overall,2023,"85,810"
Australia,Nagasaki,Overall,2021,60
Australia,Nagasaki,Overall,2022,740
Australia,Nagasaki,Overall,2023,"6,940"
Australia,Nara,Overall,2021,20
Australia,Nara,Overall,2022,550
Australia,Nara,Overall,2023,"8,190"
Australia,Niigata,Overall,2021,90
Australia,Niigata,Overall,2022,"1,860"
Australia,Niigata,Overall,2023,"20,220"
Australia,Oita,Overall,2021,640
Australia,Oita,Overall,2022,"1,200"
Australia,Oita,Overall,2023,"9,500"
Australia,Okayama,Overall,2021,40
Australia,Okayama,Overall,2022,"1,140"
Australia,Okayama,Overall,2023,"11,610"
Australia,Okinawa,Overall,2021,220
Australia,Okinawa,Overall,2022,"3,100"
Australia,Okinawa,Overall,2023,"19,310"
Australia,Osaka,Overall,2021,870
Australia,Osaka,Overall,2022,"39,230"
Australia,Osaka,Overall,2023,"477,760"
Australia,Saga,Overall,2021,0
Australia,Saga,Overall,2022,150
Australia,Saga,Overall,2023,"1,980"
Australia,Saitama,Overall,2021,370
Australia,Saitama,Overall,2022,970
Australia,Saitama,Overall,2023,"3,250"
Australia,Shiga,Overall,2021,30
Australia,Shiga,Overall,2022,460
Australia,Shiga,Overall,2023,"3,550"
Australia,Shimane,Overall,2021,20
Australia,Shimane,Overall,2022,120
Australia,Shimane,Overall,2023,780
Australia,Shizuoka,Overall,2021,890
Australia,Shizuoka,Overall,2022,"4,640"
Australia,Shizuoka,Overall,2023,"26,510"
Australia,Tochigi,Overall,2021,160
Australia,Tochigi,Overall,2022,650
Australia,Tochigi,Overall,2023,"5,840"
Australia,Tokushima,Overall,2021,20
Australia,Tokushima,Overall,2022,290
Australia,Tokushima,Overall,2023,"2,830"
Australia,Tokyo,Overall,2021,"47,310"
Australia,Tokyo,Overall,2022,"187,520"
Australia,Tokyo,Overall,2023,"1,627,430"
Australia,Tottori,Overall,2021,20
Australia,Tottori,Overall,2022,190
Australia,Tottori,Overall,2023,510
Australia,Toyama,Overall,2021,50
Australia,Toyama,Overall,2022,530
Australia,Toyama,Overall,2023,"4,370"
Australia,Wakayama,Overall,2021,30
Australia,Wakayama,Overall,2022,270
Australia,Wakayama,Overall,2023,"7,300"
Australia,Yamagata,Overall,2021,80
Australia,Yamagata,Overall,2022,450
Australia,Yamagata,Overall,2023,"3,990"
Australia,Yamaguchi,Overall,2021,130
Australia,Yamaguchi,Overall,2022,90
Australia,Yamaguchi,Overall,2023,750
Australia,Yamanashi,Overall,2021,20
Australia,Yamanashi,Overall,2022,"2,900"
Australia,Yamanashi,Overall,2023,"37,730"
Canada,Aichi,Overall,2021,850
Canada,Aichi,Overall,2022,"2,190"
Canada,Aichi,Overall,2023,"21,160"
Canada,Akita,Overall,2021,10
Canada,Akita,Overall,2022,140
Canada,Akita,Overall,2023,"1,100"
Canada,Aomori,Overall,2021,80
Canada,Aomori,Overall,2022,250
Canada,Aomori,Overall,2023,"2,490"
Canada,Chiba,Overall,2021,"9,700"
Canada,Chiba,Overall,2022,"14,480"
Canada,Chiba,Overall,2023,"59,520"
Canada,Ehime,Overall,2021,90
Canada,Ehime,Overall,2022,290
Canada,Ehime,Overall,2023,"1,370"
Canada,Fukui,Overall,2021,10
Canada,Fukui,Overall,2022,50
Canada,Fukui,Overall,2023,470
Canada,Fukuoka,Overall,2021,660
Canada,Fukuoka,Overall,2022,"3,520"
Canada,Fukuoka,Overall,2023,"25,970"
Canada,Fukushima,Overall,2021,170
Canada,Fukushima,Overall,2022,220
Canada,Fukushima,Overall,2023,930
Canada,Gifu,Overall,2021,"1,750"
Canada,Gifu,Overall,2022,850
Canada,Gifu,Overall,2023,"6,910"
Canada,Gunma,Overall,2021,20
Canada,Gunma,Overall,2022,250
Canada,Gunma,Overall,2023,"3,790"
Canada,Hiroshima,Overall,2021,170
Canada,Hiroshima,Overall,2022,"1,560"
Canada,Hiroshima,Overall,2023,"23,550"
Canada,Hokkaido,Overall,2021,"1,020"
Canada,Hokkaido,Overall,2022,"4,090"
Canada,Hokkaido,Overall,2023,"35,410"
Canada,Hyogo,Overall,2021,50
Canada,Hyogo,Overall,2022,"1,800"
Canada,Hyogo,Overall,2023,"12,110"
Canada,Ibaraki,Overall,2021,30
Canada,Ibaraki,Overall,2022,330
Canada,Ibaraki,Overall,2023,"2,340"
Canada,Ishikawa,Overall,2021,20
Canada,Ishikawa,Overall,2022,"1,570"
Canada,Ishikawa,Overall,2023,"20,950"
Canada,Iwate,Overall,2021,580
Canada,Iwate,Overall,2022,150
