Country/Area,Item1,Purpose,Year,Overnight Stays
Australia,Aichi,Overall,2019,"28,580"
Australia,Aichi,Overall,2020,"5,460"
Australia,Aichi,Overall,2021,280
Australia,Aichi,Overall,2022,"4,070"
Australia,Aichi,Overall,2023,"43,040"
Australia,Akita,Overall,2019,"3,250"
Australia,Akita,Overall,2020,680
Australia,Akita,Overall,2021,90
Australia,Akita,Overall,2022,290
Australia,Akita,Overall,2023,"2,030"
Australia,Aomori,Overall,2019,"8,420"
Australia,Aomori,Overall,2020,"3,120"
Australia,Aomori,Overall,2021,170
Australia,Aomori,Overall,2022,880
Australia,Aomori,Overall,2023,"7,770"
Australia,Chiba,Overall,2019,"148,500"
Australia,Chiba,Overall,2020,"35,170"
Australia,Chiba,Overall,2021,"3,550"
Australia,Chiba,Overall,2022,"12,790"
Australia,Chiba,Overall,2023,"113,000"
Australia,Ehime,Overall,2019,"2,940"
Australia,Ehime,Overall,2020,370
Australia,Ehime,Overall,2021,20
Australia,Ehime,Overall,2022,540
Australia,Ehime,Overall,2023,"3,630"
Australia,Fukui,Overall,2019,540
Australia,Fukui,Overall,2020,70
Australia,Fukui,Overall,2021,90
Australia,Fukui,Overall,2022,80
Australia,Fukui,Overall,2023,570
Australia,Fukuoka,Overall,2019,"27,400"
Australia,Fukuoka,Overall,2020,"3,980"
Australia,Fukuoka,Overall,2021,120
Australia,Fukuoka,Overall,2022,"4,810"
Australia,Fukuoka,Overall,2023,"40,860"
Australia,Fukushima,Overall,2019,"7,210"
Australia,Fukushima,Overall,2020,"2,780"
Australia,Fukushima,Overall,2021,520
Australia,Fukushima,Overall,2022,330
Australia,Fukushima,Overall,2023,"3,040"
Australia,Gifu,Overall,2019,"29,910"
Australia,Gifu,Overall,2020,"3,940"
Australia,Gifu,Overall,2021,20
Australia,Gifu,Overall,2022,"2,550"
Australia,Gifu,Overall,2023,"26,490"
Australia,Gunma,Overall,2019,"3,460"
Australia,Gunma,Overall,2020,930
Australia,Gunma,Overall,2021,50
Australia,Gunma,Overall,2022,640
Australia,Gunma,Overall,2023,"7,750"
Australia,Hiroshima,Overall,2019,"89,950"
Australia,Hiroshima,Overall,2020,"12,340"
Australia,Hiroshima,Overall,2021,160
Australia,Hiroshima,Overall,2022,"5,140"
Australia,Hiroshima,Overall,2023,"75,250"
Australia,Hokkaido,Overall,2019,"230,850"
Australia,Hokkaido,Overall,2020,"116,160"
Australia,Hokkaido,Overall,2021,"1,130"
Australia,Hokkaido,Overall,2022,"24,130"
Australia,Hokkaido,Overall,2023,"169,810"
Australia,Hyogo,Overall,2019,"22,470"
Australia,Hyogo,Overall,2020,"3,320"
Australia,Hyogo,Overall,2021,590
Australia,Hyogo,Overall,2022,"2,690"
Australia,Hyogo,Overall,2023,"21,870"
Australia,Ibaraki,Overall,2019,"2,020"
Australia,Ibaraki,Overall,2020,330
Australia,Ibaraki,Overall,2021,40
Australia,Ibaraki,Overall,2022,750
Australia,Ibaraki,Overall,2023,"2,680"
Australia,Ishikawa,Overall,2019,"38,260"
Australia,Ishikawa,Overall,2020,"6,480"
Australia,Ishikawa,Overall,2021,30
Australia,Ishikawa,Overall,2022,"4,220"
Australia,Ishikawa,Overall,2023,"52,900"
Australia,Iwate,Overall,2019,"8,030"
Australia,Iwate,Overall,2020,"7,650"
Australia,Iwate,Overall,2021,30
Australia,Iwate,Overall,2022,600
Australia,Iwate,Overall,2023,"7,490"
Australia,Kagawa,Overall,2019,"10,540"
Australia,Kagawa,Overall,2020,"1,100"
Australia,Kagawa,Overall,2021,40
Australia,Kagawa,Overall,2022,640
Australia,Kagawa,Overall,2023,"6,830"
Australia,Kagoshima,Overall,2019,"5,280"
Australia,Kagoshima,Overall,2020,960
Australia,Kagoshima,Overall,2021,120
Australia,Kagoshima,Overall,2022,620
Australia,Kagoshima,Overall,2023,"5,140"
Australia,Kanagawa,Overall,2019,"78,950"
Australia,Kanagawa,Overall,2020,"9,970"
Australia,Kanagawa,Overall,2021,"1,200"
Australia,Kanagawa,Overall,2022,"14,490"
